"Processor_Number","Vertical_Segment","nb_of_Cores","Price_USD","Launch_Year","Turbo_Frequency_GHz","Cache_MB","TDP_W","Max_Memory_GB"
"i7-7Y75","Mobile",2,393,2016,3.6,4,4.5,16
"i5-8250U","Mobile",4,297,2017,3.4,6,15,32
"i7-8550U","Mobile",4,409,2017,4,8,15,32
"i7-3820","Desktop",4,305,2012,3.8,10,130,64.23
"i5-7Y57","Mobile",2,281,2017,3.3,4,4.5,16
"3205U","Mobile",2,107,2015,1.5,2,15,16
"N2805","Mobile",2,NA,2013,1.46,1,4.3,4
"J1750","Desktop",2,NA,2013,2.41,1,10,8
"G1610","Desktop",2,42,2013,2.6,2,55,32
"518","Mobile",1,NA,NA,2.8,1,88,NA
"2020M","Mobile",2,134,2012,2.4,2,35,32
"773","Mobile",1,NA,NA,1.3,2,5.5,NA
"3825U","Mobile",2,161,2015,1.9,2,15,16
"4405U","Mobile",2,161,2015,2.1,2,15,32
"N3710","Mobile",4,161,2016,1.6,2,6,8
"J2850","Desktop",4,94,2013,2.41,2,10,8
"J2900","Desktop",4,94,2013,2.41,2,10,8
"J3710","Desktop",4,NA,2016,1.6,2,6.5,8
"J4205","Desktop",4,161,NA,1.5,2,10,8
"N3700","Mobile",4,161,2015,1.6,2,6,8
"N3510","Mobile",4,NA,2013,2,2,7.5,8
"N3520","Mobile",4,161,2013,2.17,2,7.5,8
"N3530","Mobile",4,161,2014,2.16,2,7.5,8
"N3540","Mobile",4,161,2014,2.16,2,7.5,8
"N4200","Mobile",4,161,2016,1.1,2,6,8
"4405Y","Mobile",2,161,2015,1.5,2,6,16
"4415Y","Mobile",2,161,2017,1.6,2,6,16
"4410Y","Mobile",2,161,2017,1.5,2,6,16
"4415U","Mobile",2,161,2017,2.3,2,15,32
"3805U","Mobile",2,161,2015,1.9,2,15,16
"3561Y","Mobile",2,161,2013,1.2,2,11.5,16
"3560M","Mobile",2,134,2014,2.4,2,37,32
"3560Y","Mobile",2,NA,2013,1.2,2,11.5,16
"3558U","Mobile",2,161,2013,1.7,2,15,16
"3556U","Mobile",2,NA,2013,1.7,2,15,16
"3550M","Mobile",2,134,2013,2.3,2,37,32
"2117U","Mobile",2,134,2012,1.8,2,17,32
"2030M","Mobile",2,134,2013,2.5,2,35,32
"2127U","Mobile",2,134,2013,1.9,2,17,32
"2129Y","Mobile",2,NA,2013,1.1,2,10,32
"753","Mobile",1,NA,NA,1.2,2,5.5,NA
"733","Mobile",1,NA,NA,1.1,2,5,NA
"723","Mobile",1,NA,NA,1,2,5,NA
"713","Mobile",1,NA,NA,1.1,1,7,NA
"778","Mobile",1,NA,NA,1.6,2,7.5,NA
"738","Mobile",1,NA,2004,1.4,2,7.5,NA
"758","Mobile",1,NA,NA,1.5,2,7.5,NA
"571","Desktop",1,NA,2005,3.8,1,115,NA
"","Mobile",1,NA,NA,0.8,512,5.9,NA
"718","Mobile",1,NA,NA,1.3,1,12,NA
"570","Desktop",1,NA,2004,3.8,1,115,NA
"","Mobile",1,NA,NA,0.75,512,24.6,NA
"780","Mobile",1,NA,NA,2.26,2,27,NA
"561","Desktop",1,NA,2005,3.6,1,115,NA
"","Mobile",1,NA,NA,0.7,512,7,NA
"","Server",1,NA,2001,0.8,512,10.63,NA
"770","Mobile",1,NA,NA,2.13,2,27,NA
"560J","Desktop",1,NA,NA,3.6,1,115,NA
"","Mobile",1,NA,NA,0.4,256,10.1,NA
"","Server",1,NA,2001,0.933,512,11.61,NA
"765","Mobile",1,NA,NA,2.1,2,7.5,NA
"560","Desktop",1,NA,NA,3.6,1,115,NA
"760","Mobile",1,NA,2004,2,2,27,NA
"","Server",1,NA,NA,1.13,512,28.7,NA
"551","Desktop",1,NA,2005,3.4,1,84,NA
"","Desktop",1,NA,NA,2.8,512,68.4,NA
"755","Mobile",1,NA,NA,2,2,7.5,NA
"","Server",1,NA,2001,1.26,512,30.4,NA
"550","Desktop",1,NA,2004,3.4,1,84,NA
"","Desktop",1,NA,2002,2.6,512,62.6,NA
"550J","Desktop",1,NA,NA,3.4,1,84,NA
"750","Mobile",1,NA,NA,1.86,2,27,NA
"","Desktop",1,NA,NA,0.9,256,23.2,NA
"","Server",1,NA,NA,1.4,512,32.2,NA
"","Desktop",1,NA,NA,3.8,1,65,NA
"","Desktop",1,NA,2002,2.5,512,61,NA
"","Server",1,NA,NA,1,512,12.1,NA
"745A","Mobile",1,NA,2004,1.8,2,21,NA
"","Desktop",1,NA,2000,0.85,256,22.5,NA
"550","Desktop",1,NA,2004,3.4,1,115,NA
"920","Desktop",2,NA,2006,2.8,4,95,NA
"","Desktop",1,NA,2002,2.4,512,59.8,NA
"","Desktop",1,NA,NA,0.933,256,27.3,NA
"745","Mobile",1,NA,2004,1.8,2,7.5,NA
"","Desktop",1,NA,NA,0.8,256,20.8,NA
"","Desktop",1,NA,2004,3.4,1,103,NA
"541","Desktop",1,NA,2004,3.2,1,84,NA
"","Desktop",1,NA,2002,2.2,512,57.1,NA
