"Processor_Number","Vertical_Segment","nb_of_Cores","nb_of_Threads","Max_nb_of_Memory_Channels","PCI_Express_Revision","Max_nb_of_PCI_Express_Lanes","Price_USD","Launch_Year","Lithography_nm","Base_Frequency_GHz","Turbo_Frequency_GHz","Cache_MB","TDP_W","Max_Memory_GB","Memory_Bandwidth_GBs"
"i7-7Y75","Mobile",2,4,2,3,10,393,2016,14,1.3,3.6,4,4.5,16,29.8
"i5-8250U","Mobile",4,8,2,3,12,297,2017,14,1.6,3.4,6,15,32,34.1
"i7-8550U","Mobile",4,8,2,3,12,409,2017,14,1.8,4,8,15,32,34.1
"i7-3820","Desktop",4,8,4,2,40,305,2012,32,3.6,3.8,10,130,64.23,51.2
"i5-7Y57","Mobile",2,4,2,3,10,281,2017,14,1.2,3.3,4,4.5,16,29.8
"3205U","Mobile",2,2,2,2,12,107,2015,14,1.5,1.5,2,15,16,25.6
"N2805","Mobile",2,2,1,2,4,275,2013,22,1.46,1.46,1,4.3,4,25.6
"J1750","Desktop",2,2,2,2,4,75,2013,22,2.41,2.41,1,10,8,25.6
"G1610","Desktop",2,2,2,2,16,42,2013,22,2.6,2.6,2,55,32,21
"518","Mobile",1,1,2,3,12,64,2004,90,2.8,2.8,1,88,16,25.6
"2020M","Mobile",2,2,2,2,1,134,2012,22,2.4,2.4,2,35,32,25.6
"773","Mobile",1,1,2,3,12,64,2004,90,1.3,1.3,2,5.5,16,25.6
"3825U","Mobile",2,4,2,2,12,161,2015,14,1.9,1.9,2,15,16,25.6
"4405U","Mobile",2,4,2,2,10,161,2015,14,2.1,2.1,2,15,32,34.1
"N3710","Mobile",4,4,2,2,4,161,2016,14,1.6,1.6,2,6,8,34.1
"J2850","Desktop",4,4,2,2,4,94,2013,22,2.41,2.41,2,10,8,25.6
"J2900","Desktop",4,4,2,2,4,94,2013,22,2.41,2.41,2,10,8,21.3
"J3710","Desktop",4,4,2,2,4,222.5,2016,14,1.6,1.6,2,6.5,8,34.1
"J4205","Desktop",4,4,2,2,6,161,2016,14,1.5,1.5,2,10,8,34.1
"N3700","Mobile",4,4,2,2,4,161,2015,14,1.6,1.6,2,6,8,29.8
"N3510","Mobile",4,4,2,2,4,378,2013,22,2,2,2,7.5,8,25.6
"N3520","Mobile",4,4,2,2,4,161,2013,22,2.17,2.17,2,7.5,8,25.6
"N3530","Mobile",4,4,2,2,4,161,2014,22,2.16,2.16,2,7.5,8,25.6
"N3540","Mobile",4,4,2,2,4,161,2014,22,2.16,2.16,2,7.5,8,21.32
"N4200","Mobile",4,4,2,2,6,161,2016,14,1.1,1.1,2,6,8,34.1
"4405Y","Mobile",2,4,2,3,10,161,2015,14,1.5,1.5,2,6,16,29.8
"4415Y","Mobile",2,4,2,3,10,161,2017,14,1.6,1.6,2,6,16,29.8
"4410Y","Mobile",2,4,2,3,10,161,2017,14,1.5,1.5,2,6,16,29.8
"4415U","Mobile",2,4,2,2,10,161,2017,14,2.3,2.3,2,15,32,34.1
"3805U","Mobile",2,2,2,2,12,161,2015,14,1.9,1.9,2,15,16,25.6
"3561Y","Mobile",2,2,2,2,12,161,2013,22,1.2,1.2,2,11.5,16,25.6
"3560M","Mobile",2,2,2,2,16,134,2014,22,2.4,2.4,2,37,32,25.6
"3560Y","Mobile",2,2,2,2,12,275,2013,22,1.2,1.2,2,11.5,16,25.6
"3558U","Mobile",2,2,2,2,10,161,2013,22,1.7,1.7,2,15,16,25.6
"3556U","Mobile",2,2,2,2,10,275,2013,22,1.7,1.7,2,15,16,25.6
"3550M","Mobile",2,2,2,2,16,134,2013,22,2.3,2.3,2,37,32,25.6
"2117U","Mobile",2,2,2,2,1,134,2012,22,1.8,1.8,2,17,32,25.6
"2030M","Mobile",2,2,2,2,1,134,2013,22,2.5,2.5,2,35,32,25.6
"2127U","Mobile",2,2,2,2,1,134,2013,22,1.9,1.9,2,17,32,25.6
"2129Y","Mobile",2,2,2,3,12,275,2013,22,1.1,1.1,2,10,32,25.6
"753","Mobile",1,1,2,3,12,64,2004,90,1.2,1.2,2,5.5,16,25.6
"733","Mobile",1,1,2,3,12,64,2004,90,1.1,1.1,2,5,16,25.6
"723","Mobile",1,1,2,3,12,64,2004,90,1,1,2,5,16,25.6
"713","Mobile",1,1,2,3,12,64,2002,130,1.1,1.1,1,7,16,25.6
"778","Mobile",1,1,2,3,12,64,2004,90,1.6,1.6,2,7.5,16,25.6
"738","Mobile",1,1,2,3,12,64,2004,90,1.4,1.4,2,7.5,16,25.6
"758","Mobile",1,1,2,3,12,64,2004,90,1.5,1.5,2,7.5,16,25.6
"571","Desktop",1,1,2,3,16,37,2005,90,3.8,3.8,1,115,32,25.6
"718","Mobile",1,1,2,3,12,64,2002,130,1.3,1.3,1,12,16,25.6
"570","Desktop",1,1,2,3,16,37,2004,90,3.8,3.8,1,115,32,25.6
"780","Mobile",1,1,2,3,12,64,2004,90,2.26,2.26,2,27,16,25.6
"561","Desktop",1,1,2,3,16,37,2005,90,3.6,3.6,1,115,32,25.6
"","Server",1,1,4,3,40,1850,2001,130,0.8,0.8,512,10.63,384,25.6
"770","Mobile",1,1,2,3,12,64,2004,90,2.13,2.13,2,27,16,25.6
"560J","Desktop",1,1,2,3,16,37,2004,90,3.6,3.6,1,115,32,25.6
"","Server",1,1,4,3,40,1850,2001,130,0.933,0.933,512,11.61,384,25.6
"765","Mobile",1,1,2,3,12,64,2004,90,2.1,2.1,2,7.5,16,25.6
"560","Desktop",1,1,2,3,16,37,2004,90,3.6,3.6,1,115,32,25.6
"760","Mobile",1,1,2,3,12,64,2004,90,2,2,2,27,16,25.6
"","Server",1,1,4,3,40,1850,2002,130,1.13,1.13,512,28.7,384,25.6
"551","Desktop",1,1,2,3,16,37,2005,90,3.4,3.4,1,84,32,25.6
"","Desktop",1,1,2,3,16,37,2002,130,2.8,2.8,512,68.4,32,25.6
"755","Mobile",1,1,2,3,12,64,2004,90,2,2,2,7.5,16,25.6
"","Server",1,1,4,3,40,1850,2001,130,1.26,1.26,512,30.4,384,25.6
"550","Desktop",1,1,2,3,16,37,2004,90,3.4,3.4,1,84,32,25.6
"","Desktop",1,1,2,3,16,37,2002,130,2.6,2.6,512,62.6,32,25.6
"550J","Desktop",1,1,2,3,16,37,2004,90,3.4,3.4,1,84,32,25.6
"750","Mobile",1,1,2,3,12,64,2004,90,1.86,1.86,2,27,16,25.6
"","Desktop",1,1,2,3,16,37,2002,130,0.9,0.9,256,23.2,32,25.6
"","Server",1,1,4,3,40,1850,2002,130,1.4,1.4,512,32.2,384,25.6
"","Desktop",1,1,2,3,16,37,2004,90,3.8,3.8,1,65,32,25.6
"","Desktop",1,1,2,3,16,37,2002,130,2.5,2.5,512,61,32,25.6
"","Server",1,1,4,3,40,1850,2002,130,1,1,512,12.1,384,25.6
"745A","Mobile",1,1,2,3,12,64,2004,90,1.8,1.8,2,21,16,25.6
"","Desktop",1,1,2,3,16,37,2000,180,0.85,0.85,256,22.5,32,25.6
"550","Desktop",1,1,2,3,16,37,2004,90,3.4,3.4,1,115,32,25.6
"920","Desktop",2,2,2,3,16,75,2006,65,2.8,2.8,4,95,32,25.6
"","Desktop",1,1,2,3,16,37,2002,130,2.4,2.4,512,59.8,32,25.6
"","Desktop",1,1,2,3,16,37,2000,180,0.933,0.933,256,27.3,32,25.6
"745","Mobile",1,1,2,3,12,64,2004,90,1.8,1.8,2,7.5,16,25.6
"","Desktop",1,1,2,3,16,37,2000,180,0.8,0.8,256,20.8,32,25.6
"","Desktop",1,1,2,3,16,37,2004,90,3.4,3.4,1,103,32,25.6
"541","Desktop",1,1,2,3,16,37,2004,90,3.2,3.2,1,84,32,25.6
"","Desktop",1,1,2,3,16,37,2002,130,2.2,2.2,512,57.1,32,25.6
"A1018","Mobile",2,2,2,2,1,275,2013,22,2.1,2.1,1,35,32,25.6
"A1020","Mobile",4,4,2,2,4,86,2016,22,2.41,2.41,2,10,8,21.3
"1405","Server",2,2,2,3,24,343,2012,32,1.2,1.8,5,40,375,25
"1405V2","Embedded",2,2,2,3,24,156,2014,22,1.4,1.4,6,40,384,38.4
"","Mobile",1,1,2,3,12,64,2002,130,1.4,1.4,512,20.8,16,25.6
"G620","Desktop",2,2,2,2,16,64,2011,32,2.6,2.6,3,65,32,17
"740","Mobile",1,1,2,3,12,64,2004,90,1.73,1.73,2,27,16,25.6
"","Desktop",1,1,2,3,16,37,2000,180,0.866,0.866,256,26.1,32,25.6
"","Desktop",1,1,2,3,16,37,2000,180,0.75,0.75,256,19.5,32,25.6
"","Desktop",1,1,2,3,16,37,2002,130,3.4,3.4,512,89,32,25.6
"540J","Desktop",1,1,2,3,16,37,2005,90,3.2,3.2,1,84,32,25.6
"","Desktop",1,1,2,3,16,37,2002,130,2,2,512,54.3,32,25.6
"","Mobile",1,1,2,3,12,64,2000,180,0.6,0.6,256,9.7,16,25.6
"","Mobile",1,1,2,3,12,64,2002,130,1.5,1.5,512,25.8,16,25.6
"G620T","Desktop",2,2,2,2,16,75,2011,32,2.2,2.2,3,35,32,17
"","Mobile",1,1,2,3,12,64,2002,130,0.9,0.9,1,7,16,25.6
"","Desktop",1,1,2,3,16,37,2000,180,0.8,0.8,256,20.8,32,25.6
"","Desktop",1,1,2,3,16,37,2000,180,0.7,0.7,256,18.3,32,25.6
"","Desktop",1,1,2,3,16,37,2004,90,3.4,3.4,1,103,32,25.6
"672","Desktop",1,1,2,3,16,37,2005,90,3.8,3.8,2,115,32,25.6
"540","Desktop",1,1,2,3,16,37,2004,90,3.2,3.2,1,84,32,25.6
"","Desktop",1,1,2,3,16,37,2000,180,2,2,256,71.8,32,25.6
"","Mobile",1,1,2,3,12,64,2002,130,1.6,1.6,512,26.9,16,25.6
"G840","Desktop",2,2,2,2,16,75,2011,32,2.8,2.8,3,65,32,21
"G622","Desktop",2,2,2,2,16,75,2011,32,2.6,2.6,3,65,32,17
"","Mobile",1,1,2,3,12,64,2002,130,1,1,1,7,16,25.6
"735","Mobile",1,1,2,3,12,64,2004,90,1.7,1.7,2,7.5,16,25.6
"","Desktop",1,1,2,3,16,37,2000,180,0.733,0.733,256,22.8,32,25.6
"","Desktop",1,1,2,3,16,37,2000,180,0.65,0.65,256,17,32,25.6
"","Desktop",1,1,2,3,16,37,2004,90,3.2,3.2,1,103,32,25.6
"670","Desktop",1,1,2,3,16,37,2005,90,3.8,3.8,2,115,32,25.6
"531","Desktop",1,1,2,3,16,37,2004,90,3,3,1,84,32,25.6
"","Mobile",1,1,2,3,12,64,2002,130,1.7,1.7,512,30,16,25.6
"G850","Desktop",2,2,2,2,16,75,2011,32,2.9,2.9,3,65,32,21
"G630","Desktop",2,2,2,2,16,64,2011,32,2.7,2.7,3,65,32,17
"","Desktop",1,1,2,3,16,37,2000,180,0.667,0.667,256,17.5,32,25.6
"","Desktop",1,1,2,3,16,37,2099,250,0.6,0.6,512,34.5,32,25.6
"","Desktop",1,1,2,3,16,37,2002,130,3.2,3.2,512,82,32,25.6
"530J","Desktop",1,1,2,3,16,37,2004,90,3,3,1,84,32,25.6
"","Desktop",1,1,2,3,16,37,2004,90,2.8,2.8,1,103,32,25.6
"","Desktop",1,1,2,3,16,37,2000,180,1.9,1.9,256,69.2,32,25.6
"","Mobile",1,1,2,3,12,64,2000,180,0.9,0.9,256,30.7,16,25.6
"","Mobile",1,1,2,3,12,64,2002,130,0.933,0.933,512,20.1,16,25.6
"","Mobile",1,1,2,3,12,64,2002,130,1.8,1.8,512,30,16,25.6
"G860","Desktop",2,2,2,2,16,75,2011,32,3,3,3,65,32,21
"G630T","Desktop",2,2,2,2,16,72,2011,32,2.3,2.3,3,35,32,17
"E6800","Desktop",2,2,2,3,16,93,2010,45,3.33,3.33,2,65,32,21
"","Mobile",1,1,2,3,12,64,2002,130,1.2,1.2,1,12,16,25.6
"730","Mobile",1,1,2,3,12,64,2004,90,1.6,1.6,2,27,16,25.6
"","Desktop",1,1,2,3,16,37,2099,250,0.6,0.6,512,34.5,32,25.6
"","Desktop",1,1,2,3,16,37,2000,180,0.6,0.6,256,19.5,32,25.6
"960","Desktop",2,2,2,3,16,316,2006,65,3.6,3.6,4,130,32,25.6
"","Desktop",1,1,2,3,16,37,2004,90,3.2,3.2,1,103,32,25.6
"662","Desktop",1,1,2,3,16,37,2005,90,3.6,3.6,2,115,32,25.6
"530","Desktop",1,1,2,3,16,37,2004,90,3,3,1,84,32,25.6
"519K","Desktop",1,1,2,3,16,37,2004,90,3.06,3.06,1,84,32,25.6
