"Processor_Number","Vertical_Segment","nb_of_Cores","Price_USD","Launch_Year","Turbo_Frequency_GHz","Cache_MB","TDP_W","Max_Memory_GB"
"i7-7Y75","Mobile",2,393,2016,3.6,4,4.5,16
"i5-8250U","Mobile",4,297,2017,3.4,6,15,32
"i7-8550U","Mobile",4,409,2017,4,8,15,32
"i7-3820","Desktop",4,305,2012,3.8,10,130,64.23
"i5-7Y57","Mobile",2,281,2017,3.3,4,4.5,16
"3205U","Mobile",2,107,2015,1.5,2,15,16
"G1610","Desktop",2,42,2013,2.6,2,55,32
"2020M","Mobile",2,134,2012,2.4,2,35,32
"3825U","Mobile",2,161,2015,1.9,2,15,16
"4405U","Mobile",2,161,2015,2.1,2,15,32
"N3710","Mobile",4,161,2016,1.6,2,6,8
"J2850","Desktop",4,94,2013,2.41,2,10,8
"J2900","Desktop",4,94,2013,2.41,2,10,8
"J4205","Desktop",4,161,NA,1.5,2,10,8
"N3700","Mobile",4,161,2015,1.6,2,6,8
"N3520","Mobile",4,161,2013,2.17,2,7.5,8
"N3530","Mobile",4,161,2014,2.16,2,7.5,8
"N3540","Mobile",4,161,2014,2.16,2,7.5,8
"N4200","Mobile",4,161,2016,1.1,2,6,8
"4405Y","Mobile",2,161,2015,1.5,2,6,16
"4415Y","Mobile",2,161,2017,1.6,2,6,16
"4410Y","Mobile",2,161,2017,1.5,2,6,16
"4415U","Mobile",2,161,2017,2.3,2,15,32
"3805U","Mobile",2,161,2015,1.9,2,15,16
"3561Y","Mobile",2,161,2013,1.2,2,11.5,16
"3560M","Mobile",2,134,2014,2.4,2,37,32
"3558U","Mobile",2,161,2013,1.7,2,15,16
"3550M","Mobile",2,134,2013,2.3,2,37,32
"2117U","Mobile",2,134,2012,1.8,2,17,32
"2030M","Mobile",2,134,2013,2.5,2,35,32
"2127U","Mobile",2,134,2013,1.9,2,17,32
"A1020","Mobile",4,86,2016,2.41,2,10,8
"1405V2","Embedded",2,156,2014,1.4,6,40,384
"G620","Desktop",2,64,2011,2.6,3,65,32
"B915C","Embedded",2,168,2012,1.5,3,15,32
"G840","Desktop",2,75,2011,2.8,3,65,32
"G630","Desktop",2,64,2011,2.7,3,65,32
"G860","Desktop",2,75,2011,3,3,65,32
"G630T","Desktop",2,72,2011,2.3,3,35,32
"G870","Desktop",2,82,2012,3.1,3,65,32
"G640","Desktop",2,64,2012,2.8,3,65,32
"G645","Desktop",2,64,2012,2.9,3,65,32
"G645T","Desktop",2,64,2012,2.5,3,35,32
"G1610T","Desktop",2,42,2013,2.3,2,35,32
"G1620T","Desktop",2,42,2013,2.4,2,35,32
"G1820","Desktop",2,42,2014,2.7,2,53,32
"G1630","Desktop",2,52,2013,2.8,2,55,32
"G1820T","Desktop",2,42,2014,2.4,2,35,32
"G1820TE","Embedded",2,42,2014,2.2,2,35,32
"G1830","Desktop",2,52,2014,2.8,2,53,32
"G1840","Desktop",2,42,2014,2.8,2,53,32
"G1840T","Desktop",2,42,2014,2.5,2,35,32
"G1850","Desktop",2,52,2014,2.9,2,53,32
"G3900","Desktop",2,42,2015,2.8,2,51,64
"G3900E","Embedded",2,107,2016,2.4,2,35,64
"G3900TE","Embedded",2,42,2015,2.3,2,35,64
"G3920","Desktop",2,52,2015,2.9,2,51,64
"G3902E","Embedded",2,107,2016,1.6,2,25,64
"G3930","Desktop",2,42,2017,2.9,2,51,64
"G3930E","Desktop",2,42,2017,2.9,2,54,64
"G3930T","Desktop",2,42,2017,2.7,2,35,64
"G3930TE","Desktop",2,42,2017,2.7,2,35,64
"G3950","Desktop",2,52,2017,3,2,51,64
"J1800","Desktop",2,72,2013,2.41,1,10,8
"J1900","Desktop",4,82,2013,2,2,10,8
"J3060","Desktop",2,107,2016,1.6,2,6,8
"J3355","Desktop",2,107,2016,2,2,10,8
"J3455","Desktop",4,107,2016,1.5,2,10,8
"N2806","Mobile",2,107,2013,1.6,1,4.5,4
"N2807","Mobile",2,107,2014,1.58,1,4.3,4
"N2808","Mobile",2,107,2014,1.58,1,4.5,4
"N2830","Mobile",2,107,2014,2.16,1,7.5,8
"N2840","Mobile",2,107,2014,2.16,1,7.5,8
"N2930","Mobile",4,107,2014,1.83,2,7.5,8
"N2940","Mobile",4,107,2014,1.83,2,7.5,8
"N3450","Mobile",4,107,2016,1.1,2,6,8
"N3350","Mobile",2,107,2016,1.1,2,6,8
"N3160","Mobile",4,107,2016,1.6,2,6,8
"N3150","Mobile",4,107,2015,1.6,2,6,8
"N3060","Mobile",2,107,2016,1.6,2,6,8
"N3050","Mobile",2,107,2015,1.6,2,6,8
"N3010","Mobile",2,107,2016,1.04,2,4,8
"N3000","Mobile",2,107,2015,1.04,2,4,8
"3215U","Mobile",2,107,2015,1.7,2,15,16
"3755U","Mobile",2,107,2015,1.7,2,15,16
"3765U","Mobile",2,107,2015,1.9,2,15,16
"3855U","Mobile",2,107,2015,1.6,2,15,32
"3955U","Mobile",2,107,2015,2,2,15,32
"3865U","Mobile",2,107,2017,1.8,2,15,32
