"Processor_Number","Vertical_Segment","nb_of_Cores","Price_USD","Launch_Year","Turbo_Frequency_GHz","Cache_MB","TDP_W","Max_Memory_GB","Predicted_Price_USD"
"N2805","Mobile",2,NA,2013,1.46,1,4.3,4,63.4855701515916
"J1750","Desktop",2,NA,2013,2.41,1,10,8,108.801673856755
"518","Mobile",1,NA,NA,2.8,1,88,22.4466183574879,64.4551936311358
"773","Mobile",1,NA,NA,1.3,2,5.5,22.4466183574879,50.7251057523608
"J3710","Desktop",4,NA,2016,1.6,2,6.5,8,160.319637317262
"N3510","Mobile",4,NA,2013,2,2,7.5,8,197.659389283883
"3560Y","Mobile",2,NA,2013,1.2,2,11.5,16,70.671222431498
"3556U","Mobile",2,NA,2013,1.7,2,15,16,97.4138918576637
"2129Y","Mobile",2,NA,2013,1.1,2,10,32,75.8811394466851
"753","Mobile",1,NA,NA,1.2,2,5.5,22.4466183574879,46.7203679431255
"733","Mobile",1,NA,NA,1.1,2,5,22.4466183574879,43.2947142311326
"723","Mobile",1,NA,NA,1,2,5,22.4466183574879,39.2559516212502
"713","Mobile",1,NA,NA,1.1,1,7,22.4466183574879,35.0912743142023
"778","Mobile",1,NA,NA,1.6,2,7.5,22.4466183574879,60.1379418969666
"738","Mobile",1,NA,2004,1.4,2,7.5,22.4466183574879,52.428097710322
"758","Mobile",1,NA,NA,1.5,2,7.5,22.4466183574879,56.2794885612729
"571","Desktop",1,NA,2005,3.8,1,115,39.4661935483871,95.3357964669282
"","Mobile",1,NA,NA,0.8,512,5.9,22.4466183574879,112.640584683017
"718","Mobile",1,NA,NA,1.3,1,12,22.4466183574879,38.6542401311194
"570","Desktop",1,NA,2004,3.8,1,115,39.4661935483871,95.3357964669282
"","Mobile",1,NA,NA,0.75,512,24.6,22.4466183574879,86.4341359456171
"780","Mobile",1,NA,NA,2.26,2,27,22.4466183574879,71.7649163570482
"561","Desktop",1,NA,2005,3.6,1,115,39.4661935483871,90.1841237830055
"","Mobile",1,NA,NA,0.7,512,7,22.4466183574879,95.8932165690401
"","Server",1,NA,2001,0.8,512,10.63,699.137906976744,209.00208569783
"770","Mobile",1,NA,NA,2.13,2,27,22.4466183574879,67.5268994187045
"560J","Desktop",1,NA,NA,3.6,1,115,39.4661935483871,90.1841237830055
"","Mobile",1,NA,NA,0.4,256,10.1,22.4466183574879,43.5531311496929
"","Server",1,NA,2001,0.933,512,11.61,699.137906976744,241.797425201327
"765","Mobile",1,NA,NA,2.1,2,7.5,22.4466183574879,79.522677218455
"560","Desktop",1,NA,NA,3.6,1,115,39.4661935483871,90.1841237830055
"760","Mobile",1,NA,2004,2,2,27,22.4466183574879,63.2959838828489
"","Server",1,NA,NA,1.13,512,28.7,699.137906976744,259.589299061246
"551","Desktop",1,NA,2005,3.4,1,84,39.4661935483871,88.8364765690223
"","Desktop",1,NA,NA,2.8,512,68.4,39.4661935483871,325.561907934046
"755","Mobile",1,NA,NA,2,2,7.5,22.4466183574879,75.6344782357814
"","Server",1,NA,2001,1.26,512,30.4,699.137906976744,288.00692994468
"550","Desktop",1,NA,2004,3.4,1,84,39.4661935483871,88.8364765690223
"","Desktop",1,NA,2002,2.6,512,62.6,39.4661935483871,305.432511830564
"550J","Desktop",1,NA,NA,3.4,1,84,39.4661935483871,88.8364765690223
"750","Mobile",1,NA,NA,1.86,2,27,22.4466183574879,58.7480715789444
"","Desktop",1,NA,NA,0.9,256,23.2,39.4661935483871,100.126181664273
"","Server",1,NA,NA,1.4,512,32.2,699.137906976744,318.378434938529
"","Desktop",1,NA,NA,3.8,1,65,39.4661935483871,103.206223636972
